3.9881e-04 4.3084e+01 2.3887e-01 3.1363e-04
4.0687e-04 4.3902e+01 2.4858e-01 2.9537e-04
4.1509e-04 4.4736e+01 2.5867e-01 2.7817e-04
4.2348e-04 4.5585e+01 2.6917e-01 2.6197e-04
4.3203e-04 4.6449e+01 2.8010e-01 2.4671e-04
4.4076e-04 4.7329e+01 2.9147e-01 2.3234e-04
4.4966e-04 4.8225e+01 3.0330e-01 2.1881e-04
4.5875e-04 4.9138e+01 3.1560e-01 2.0607e-04
4.6801e-04 5.0067e+01 3.2840e-01 1.9407e-04
4.7747e-04 5.1012e+01 3.4172e-01 1.8277e-04
4.8711e-04 5.1975e+01 3.5558e-01 1.7212e-04
4.9695e-04 5.2955e+01 3.6999e-01 1.6210e-04
5.0699e-04 5.3952e+01 3.8499e-01 1.5266e-04
5.1723e-04 5.4967e+01 4.0059e-01 1.4377e-04
5.2768e-04 5.6001e+01 4.1682e-01 1.3540e-04
5.3834e-04 5.7052e+01 4.3370e-01 1.2751e-04
5.4922e-04 5.8123e+01 4.5126e-01 1.2009e-04
5.6031e-04 5.9212e+01 4.6953e-01 1.1309e-04
5.7163e-04 6.0321e+01 4.8853e-01 1.0651e-04
5.8318e-04 6.1449e+01 5.0830e-01 1.0031e-04
5.9496e-04 6.2597e+01 5.2886e-01 9.4464e-05
6.0698e-04 6.3766e+01 5.5025e-01 8.8963e-05
6.1924e-04 6.4954e+01 5.7249e-01 8.3782e-05
6.3175e-04 6.6164e+01 5.9563e-01 7.8903e-05
6.4451e-04 6.7394e+01 6.1970e-01 7.4308e-05
6.5753e-04 6.8646e+01 6.4474e-01 6.9981e-05
6.7082e-04 6.9919e+01 6.7077e-01 6.5905e-05
6.8437e-04 7.1214e+01 6.9785e-01 6.2067e-05
6.9819e-04 7.2531e+01 7.2602e-01 5.8453e-05
7.1230e-04 7.3871e+01 7.5531e-01 5.5049e-05
7.2669e-04 7.5234e+01 7.8577e-01 5.1843e-05
7.4137e-04 7.6619e+01 8.1745e-01 4.8824e-05
7.5634e-04 7.8028e+01 8.5039e-01 4.5980e-05
7.7162e-04 7.9461e+01 8.8465e-01 4.3303e-05
7.8721e-04 8.0917e+01 9.2028e-01 4.0781e-05
8.0311e-04 8.2398e+01 9.5732e-01 3.8406e-05
8.1934e-04 8.3903e+01 9.9584e-01 3.6170e-05
8.3589e-04 8.5432e+01 1.0359e+00 3.4063e-05
8.5277e-04 8.6987e+01 1.0775e+00 3.2079e-05
8.7000e-04 8.8568e+01 1.1209e+00 3.0211e-05
8.8758e-04 9.0174e+01 1.1659e+00 2.8452e-05
9.0551e-04 9.1806e+01 1.2127e+00 2.6795e-05
9.2380e-04 9.3464e+01 1.2614e+00 2.5235e-05
9.4246e-04 9.5148e+01 1.3120e+00 2.3765e-05
9.6150e-04 9.6860e+01 1.3646e+00 2.2381e-05
9.8092e-04 9.8598e+01 1.4193e+00 2.1078e-05
1.0007e-03 1.0036e+02 1.4761e+00 1.9850e-05
1.0210e-03 1.0216e+02 1.5352e+00 1.8694e-05
1.0416e-03 1.0398e+02 1.5966e+00 1.7606e-05
1.0626e-03 1.0583e+02 1.6605e+00 1.6580e-05
1.0841e-03 1.0771e+02 1.7269e+00 1.5615e-05
1.1060e-03 1.0961e+02 1.7959e+00 1.4705e-05
1.1283e-03 1.1155e+02 1.8676e+00 1.3849e-05
1.1511e-03 1.1351e+02 1.9421e+00 1.3043e-05
