7.0000e-05 8.1873e+00
7.1414e-05 8.3460e+00
7.2857e-05 8.5076e+00
7.4329e-05 8.6724e+00
7.5830e-05 8.8404e+00
7.7362e-05 9.0116e+00
7.8925e-05 9.1862e+00
8.0519e-05 9.3641e+00
8.2146e-05 9.5455e+00
8.3805e-05 9.7303e+00
8.5498e-05 9.9187e+00
8.7225e-05 1.0111e+01
8.8987e-05 1.0307e+01
9.0785e-05 1.0506e+01
9.2619e-05 1.0710e+01
9.4490e-05 1.0917e+01
9.6399e-05 1.1128e+01
9.8346e-05 1.1344e+01
1.0033e-04 1.1563e+01
1.0236e-04 1.1787e+01
1.0443e-04 1.2015e+01
1.0654e-04 1.2248e+01
1.0869e-04 1.2485e+01
1.1089e-04 1.2726e+01
1.1313e-04 1.2973e+01
1.1541e-04 1.3224e+01
1.1774e-04 1.3479e+01
1.2012e-04 1.3740e+01
1.2255e-04 1.4006e+01
1.2502e-04 1.4277e+01
1.2755e-04 1.4553e+01
1.3012e-04 1.4834e+01
1.3275e-04 1.5121e+01
1.3544e-04 1.5414e+01
1.3817e-04 1.5712e+01
1.4096e-04 1.6015e+01
1.4381e-04 1.6325e+01
1.4672e-04 1.6640e+01
1.4968e-04 1.6962e+01
1.5270e-04 1.7290e+01
1.5579e-04 1.7624e+01
1.5893e-04 1.7964e+01
1.6215e-04 1.8311e+01
1.6542e-04 1.8665e+01
1.6876e-04 1.9025e+01
1.7217e-04 1.9392e+01
1.7565e-04 1.9767e+01
1.7920e-04 2.0148e+01
1.8282e-04 2.0537e+01
1.8651e-04 2.0933e+01
1.9028e-04 2.1337e+01
1.9412e-04 2.1748e+01
1.9805e-04 2.2168e+01
2.0205e-04 2.2595e+01
2.0613e-04 2.3030e+01
2.1029e-04 2.3474e+01
2.1454e-04 2.3926e+01
2.1887e-04 2.4387e+01
2.2330e-04 2.4857e+01
2.2781e-04 2.5335e+01
2.3241e-04 2.5823e+01
2.3710e-04 2.6319e+01
2.4189e-04 2.6826e+01
2.4678e-04 2.7341e+01
2.5176e-04 2.7867e+01
2.5685e-04 2.8402e+01
2.6204e-04 2.8948e+01
2.6733e-04 2.9504e+01
2.7273e-04 3.0070e+01
2.7824e-04 3.0647e+01
2.8386e-04 3.1235e+01
2.8960e-04 3.1834e+01
2.9545e-04 3.2444e+01
3.0142e-04 3.3065e+01
3.0751e-04 3.3698e+01
3.1372e-04 3.4343e+01
3.2006e-04 3.5000e+01
3.2652e-04 3.5670e+01
3.3312e-04 3.6351e+01
3.3985e-04 3.7046e+01
3.4671e-04 3.7753e+01
3.5372e-04 3.8473e+01
3.6086e-04 3.9207e+01
3.6815e-04 3.9954e+01
3.7559e-04 4.0715e+01
3.8318e-04 4.1490e+01
3.9092e-04 4.2280e+01
3.9881e-04 4.3084e+01
4.0687e-04 4.3902e+01
4.1509e-04 4.4736e+01
4.2348e-04 4.5585e+01
4.3203e-04 4.6449e+01
4.4076e-04 4.7329e+01
4.4966e-04 4.8225e+01
4.5875e-04 4.9138e+01
4.6801e-04 5.0067e+01
4.7747e-04 5.1012e+01
4.8711e-04 5.1975e+01
4.9695e-04 5.2955e+01
5.0699e-04 5.3952e+01
5.1723e-04 5.4967e+01
5.2768e-04 5.6001e+01
5.3834e-04 5.7052e+01
5.4922e-04 5.8123e+01
5.6031e-04 5.9212e+01
5.7163e-04 6.0321e+01
5.8318e-04 6.1449e+01
5.9496e-04 6.2597e+01
6.0698e-04 6.3766e+01
6.1924e-04 6.4954e+01
6.3175e-04 6.6164e+01
6.4451e-04 6.7394e+01
6.5753e-04 6.8646e+01
