 0.000000000000000e+00  1.109052283256778e-06  0.000000000000000e+00 1081690.576824799
 7.800112578856762e-04  1.109053116775019e-06  1.342839646157891e-03 1081691.369088052
 1.560022515771352e-03  1.109055617330966e-06  2.685681259383304e-03 1081693.745864239
 2.340033773657029e-03  1.109059784928277e-06  4.028526806709994e-03 1081697.707112630
 3.120045031542705e-03  1.109065619573062e-06  5.371378255104538e-03 1081703.252765354
 3.900056289428381e-03  1.109073121273864e-06  6.714237571432253e-03 1081710.382727380
 4.680067547314057e-03  1.109082290041673e-06  8.057106722423426e-03 1081719.096876528
 5.460078805199733e-03  1.109093125889919e-06  9.399987674640242e-03 1081729.395063465
 6.240090063085410e-03  1.109105628834472e-06  1.074288239444218e-02 1081741.277111700
 7.020101320971083e-03  1.109119798893644e-06  1.208579284795317e-02 1081754.742817583
 7.800112578856763e-03  1.109135636088188e-06  1.342872100102721e-02 1081769.791950307
 8.580123836742436e-03  1.109153140441296e-06  1.477166881921490e-02 1081786.424251897
 9.360135094628115e-03  1.109172311978603e-06  1.611463826772982e-02 1081804.639437217
 1.014014635251379e-02  1.109193150728176e-06  1.745763131141495e-02 1081824.437193955
 1.092015761039947e-02  1.109215656720533e-06  1.880064991470824e-02 1081845.817182634
 1.170016886828515e-02  1.109239829988616e-06  2.014369604160948e-02 1081868.779036586
 1.248018012617082e-02  1.109265670567819e-06  2.148677165564658e-02 1081893.322361976
 1.326019138405649e-02  1.109293178495962e-06  2.282987871984121e-02 1081919.446737770
 1.404020264194217e-02  1.109322353813308e-06  2.417301919667617e-02 1081947.151715751
 1.482021389982784e-02  1.109353196562555e-06  2.551619504806042e-02 1081976.436820498
 1.560022515771353e-02  1.109385706788835e-06  2.685940823529613e-02 1082007.301549394
 1.638023641559920e-02  1.109419884539713e-06  2.820266071904436e-02 1082039.745372604
 1.716024767348488e-02  1.109455729865192e-06  2.954595445929138e-02 1082073.767733085
 1.794025893137055e-02  1.109493242817703e-06  3.088929141531573e-02 1082109.368046569
 1.872027018925623e-02  1.109532423452112e-06  3.223267354565311e-02 1082146.545701562
 1.950028144714190e-02  1.109573271825716e-06  3.357610280806349e-02 1082185.300059330
